Frame#,Time,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z
334,2.775,-963.94238,512.77698,1546.90564,-1171.91736,461.71201,1448.4176
335,2.783,-974.59845,513.72626,1547.46863,-1179.6051,462.82739,1448.79248
336,2.792,-981.83154,515.43964,1548.28723,-1188.43018,464.74344,1449.59924
337,2.8,-990.1521,516.19141,1548.24512,-1197.0116,466.26892,1449.54993
338,2.808,-999.53723,518.95477,1549.58105,-1203.87842,465.82291,1451.0271
339,2.817,-1008.14838,518.07123,1549.46558,-1213.44751,466.44412,1451.49609
340,2.825,-1017.53217,522.61176,1550.41821,-1220.11914,466.79993,1451.58435
341,2.833,-1025.81018,521.04486,1551.95715,-1229.479,466.97623,1451.98181
342,2.842,-1032.88367,523.92371,1552.22778,-1235.41589,466.01138,1452.17224
343,2.85,-1042.85657,523.7666,1553.09741,-1244.62244,466.57043,1452.50684
344,2.858,-1049.53076,527.06396,1553.95166,-1252.25024,467.12784,1453.24707
345,2.867,-1058.69312,526.43152,1555.05066,-1260.70728,467.11166,1453.3446
346,2.875,-1067.20056,528.45044,1556.77112,-1266.97693,467.01599,1453.38477
347,2.883,-1075.75476,527.87952,1556.71277,-1275.8053,467.08868,1453.46399
