Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
188,1.558,-574.65576,28.7529,1301.06128,-611.66821,-259.86371,1285.63037,-638.27234,112.3802,1306.75098
189,1.567,-568.61731,29.05734,1299.78625,-607.90076,-260.46832,1285.76025,-633.69849,113.55975,1306.16675
190,1.575,-564.3819,30.58283,1299.72998,-603.30988,-257.2023,1284.83862,-628.07605,113.90443,1304.32129
191,1.583,-559.41541,32.78928,1298.40088,-600.18231,-257.97968,1284.16589,-622.35669,115.75323,1303.94299
192,1.592,-555.02698,33.45937,1297.72156,-594.33606,-257.63104,1283.7981,-617.59784,118.03719,1303.28394
193,1.6,-549.01324,33.97348,1297.30225,-589.61548,-255.26393,1282.92395,-612.99933,117.87038,1301.60828
194,1.608,-545.23029,35.38192,1296.72729,-587.08545,-253.62415,1281.63989,-606.87964,118.08288,1299.37061
195,1.617,-539.82104,36.89426,1295.9425,-582.62,-252.33591,1280.46289,-602.43878,121.46683,1299.2843
196,1.625,-534.69525,37.86468,1294.98462,-578.40302,-251.16289,1280.33521,-596.31006,122.11575,1298.5321
197,1.633,-529.9079,39.01199,1293.81921,-573.73956,-249.20671,1279.90906,-590.62769,123.68397,1296.83472
198,1.642,-524.4751,40.48988,1293.1543,-570.12927,-247.94925,1279.99634,-587.20099,126.6792,1296.60596
199,1.65,-519.27802,42.27898,1293.03174,-563.59131,-246.992,1278.88635,-581.5575,129.02025,1296.30396
200,1.658,-514.34271,43.91973,1292.51038,-559.51947,-245.44667,1278.82434,-575.15967,130.37245,1295.39221
201,1.667,-509.37518,45.88485,1291.6947,-555.8949,-242.64034,1277.87793,-569.38239,130.41023,1293.36951
202,1.675,-503.62592,46.83353,1290.30029,-551.02301,-241.98778,1278.21765,-562.47241,131.3515,1292.6261
203,1.683,-498.78638,48.59269,1290.16479,-546.40839,-239.97627,1277.76746,-559.65442,136.32735,1291.63806
204,1.692,-493.09396,49.74895,1289.56909,-541.99066,-238.49606,1278.32446,-554.86108,137.44633,1290.8457
205,1.7,-487.7767,52.17172,1289.71216,-536.61169,-236.13058,1279.21912,-548.94012,138.69212,1291.8949
206,1.708,-482.94269,54.47074,1289.36243,-531.80139,-234.17375,1279.20398,-543.4079,140.57396,1291.67297
207,1.717,-478.34955,56.10538,1289.92859,-527.19513,-232.5863,1279.48926,-536.35437,140.92493,1289.92017
208,1.725,-471.90384,58.47178,1289.58911,-522.12958,-229.88327,1278.99072,-531.37885,144.13583,1290.68921
209,1.733,-467.17471,58.5881,1290.07568,-517.02954,-229.23427,1280.09875,-527.29999,146.03172,1290.38062
210,1.742,-462.19211,61.73892,1290.48132,-511.92786,-226.62431,1281.64465,-520.14496,148.04135,1290.71033
211,1.75,-456.68027,62.56805,1290.73938,-507.30099,-224.81395,1281.80725,-514.71143,149.3204,1290.90027
212,1.758,-452.12106,64.75893,1292.24048,-502.6821,-222.74562,1282.52966,-509.91113,152.59027,1291.84155
213,1.767,-445.89716,67.82854,1292.57166,-497.69156,-221.62737,1282.88123,-504.43002,153.08133,1293.22205
214,1.775,-441.77402,69.29628,1293.69385,-493.4707,-218.5589,1283.82251,-501.30185,155.11433,1292.91052
215,1.783,-437.14902,70.82484,1295.17371,-488.69412,-216.24974,1284.78064,-497.92899,159.77603,1295.80115
216,1.792,-432.21365,72.6711,1296.97583,-483.80304,-215.53479,1286.12817,-490.69714,160.3421,1296.92688
217,1.8,-426.51654,73.14615,1297.07959,-480.07074,-213.11832,1286.88452,-485.52319,160.95699,1297.26355
218,1.808,-421.84106,76.49886,1299.25525,-475.03644,-212.08264,1287.72754,-478.789,161.60382,1299.03235
219,1.817,-416.25919,78.04291,1300.35303,-470.06647,-209.95432,1288.80054,-474.04565,164.63347,1300.00085
220,1.825,-411.19629,78.73879,1301.56274,-465.53799,-207.75185,1289.89404,-469.15259,167.46713,1300.9939
221,1.833,-405.82111,82.64893,1302.55103,-460.99966,-205.61238,1290.05225,-463.64893,168.78284,1302.21863
222,1.842,-400.69885,84.19769,1303.64136,-456.27768,-203.85507,1292.23901,-457.19821,170.07362,1302.81726
223,1.85,-395.11053,84.80156,1304.32385,-452.88336,-201.92085,1293.00818,-451.62961,171.10522,1305.25085
224,1.858,-389.51242,86.86113,1306.23315,-448.41379,-200.13918,1293.40784,-446.32373,173.32703,1306.30554
225,1.867,-383.15723,89.1785,1306.53894,-443.27878,-198.56552,1294.91614,-440.34769,175.6568,1307.03162
226,1.875,-379.06625,90.16222,1307.5238,-439.0498,-196.6203,1295.84473,-434.49362,177.19,1307.97888
227,1.883,-373.01782,92.12706,1308.55237,-435.26205,-194.58479,1296.12915,-429.55234,178.2448,1308.48462
