Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z
359,2.983,167.54054,345.72443,826.49463
360,2.992,160.38751,347.36667,825.32098
361,3,155.31873,349.05515,824.08557
362,3.008,149.12126,349.48438,823.55658
363,3.017,143.83113,350.64267,822.57892
364,3.025,137.23395,352.23978,822.07605
365,3.033,129.54128,353.89096,820.7016
366,3.042,123.43577,354.93475,819.86292
367,3.05,116.33738,357.22186,818.97449
368,3.058,111.03561,357.15488,817.23206
369,3.067,103.955,360.07941,815.92017
370,3.075,97.128,361.13867,814.93781
371,3.083,90.56261,362.50586,813.87274
372,3.092,82.73141,365.31827,812.35632
373,3.1,76.0272,366.65335,811.37524
374,3.108,68.47395,368.29575,810.9209
375,3.117,60.86487,369.95862,810.08234
376,3.125,53.4597,370.95483,808.67072
377,3.133,45.62849,373.80109,809.86841
378,3.142,37.51614,374.07941,809.34955
379,3.15,31.22371,374.88562,809.27032
380,3.158,23.70766,376.15332,809.10651
381,3.167,15.44271,378.3653,809.83325
382,3.175,8.30722,378.7439,810.09955
383,3.183,0.48772,380.76123,810.56464
384,3.192,-8.86634,380.42221,810.6853
385,3.2,-14.9267,383.59988,812.11102
386,3.208,-23.52432,383.31879,812.68579
387,3.217,-31.38146,385.82687,814.89606
388,3.225,-38.62103,385.92148,816.07483
389,3.233,-46.35912,386.99612,816.02435
390,3.242,-53.78829,388.65164,817.75543
391,3.25,-62.45396,389.63077,818.16125
392,3.258,-66.6088,391.97183,819.44183
393,3.267,-76.07136,392.94336,820.13684
394,3.275,-84.84421,394.4072,822.26678
395,3.283,-92.23267,395.56891,822.48022
396,3.292,-99.62729,397.91116,822.98383
397,3.3,-107.63006,399.09317,824.92511
398,3.308,-115.26995,401.28195,825.63367
399,3.317,-121.9652,401.61017,825.53339
400,3.325,-129.51938,405.22391,827.02325
401,3.333,-137.49348,406.89072,827.97864
402,3.342,-144.26564,406.9003,828.40527
403,3.35,-151.83931,410.33139,829.29352
404,3.358,-158.88647,411.40662,830.68036
405,3.367,-166.12283,412.7457,830.99725
406,3.375,-173.15207,413.03439,831.48212
407,3.383,-179.93021,416.40445,831.44714
408,3.392,-186.86305,416.80087,831.63544
409,3.4,-193.29471,416.95145,831.92792
410,3.408,-201.439,418.16797,832.48981
411,3.417,-207.55774,418.88751,833.63757
412,3.425,-214.89032,419.79007,834.37415
413,3.433,-221.87903,421.20935,834.61761
414,3.442,-226.74626,421.30627,835.11456
415,3.45,-234.91002,422.84256,835.58057
416,3.458,-240.62616,422.10797,836.07837
417,3.467,-247.69135,422.42847,836.00153
418,3.475,-253.19093,422.11072,836.69843
419,3.483,-261.49341,423.21747,838.54077
420,3.492,-268.07034,422.32144,837.90985
421,3.5,-274.52057,422.91684,838.43732
422,3.508,-279.3288,422.62973,838.62006
423,3.517,-285.63513,421.70032,838.5683
424,3.525,-292.84088,422.4043,838.49628
425,3.533,-298.72916,422.25128,838.29144
426,3.542,-303.80264,420.93039,838.44202
427,3.55,-310.16388,420.35651,838.0332
428,3.558,-317.134,420.29202,837.79303
429,3.567,-322.39404,420.40619,838.12067
430,3.575,-328.289,419.92752,837.73938
431,3.583,-335.05881,419.26208,836.7431
432,3.592,-339.69131,417.99213,836.62341
433,3.6,-346.07196,418.50281,836.2453
434,3.608,-350.22748,417.30322,835.81506
435,3.617,-355.34082,415.55435,834.72095
436,3.625,-360.47903,414.87329,833.92438
437,3.633,-366.46011,414.78149,832.68719
438,3.642,-371.3819,413.8605,832.24017
439,3.65,-376.58661,412.56348,830.99469
440,3.658,-381.58072,411.7395,830.56427
441,3.667,-388.20493,411.71381,829.96051
442,3.675,-393.04706,411.21753,828.87408
443,3.683,-398.00003,410.10004,828.59253
444,3.692,-403.86533,408.73865,827.19519
445,3.7,-409.34781,408.33829,826.02795
446,3.708,-413.22223,407.72266,825.42499
447,3.717,-419.01501,406.66046,825.00067
448,3.725,-424.48593,405.88913,825.04474
449,3.733,-430.31339,404.02866,824.6723
450,3.742,-433.06171,402.32336,822.39832
451,3.75,-440.15698,401.98618,822.63843
452,3.758,-449.93155,402.27448,822.29266
453,3.767,-455.33173,401.35379,821.20154
454,3.775,-454.33389,399.34119,819.74725
455,3.783,-459.80853,398.60397,819.01941
456,3.792,-465.33743,397.16696,818.18292
457,3.8,-469.94116,396.47763,817.56122
458,3.808,-474.96542,395.60318,815.75208
