Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Jaw.x,Jaw.y,Jaw.z
251,2.083,602.37628,14.56778,1582.62427,513.96765,17.3467,1465.31458
252,2.092,597.56189,15.32058,1583.81311,508.85422,18.60011,1465.6709
253,2.1,593.51001,16.23368,1583.63965,505.62277,18.51531,1465.50891
254,2.108,588.73065,15.54401,1582.96729,500.70627,18.81342,1466.49133
255,2.117,583.12006,15.92394,1583.68982,496.10077,20.45175,1466.97803
256,2.125,579.30542,17.67306,1583.96973,490.87955,21.0232,1466.03479
257,2.133,574.4754,15.94931,1583.47937,486.45502,20.72133,1465.28796
258,2.142,569.21777,16.21292,1582.20984,482.16382,20.26823,1465.29077
259,2.15,565.8728,17.66263,1582.11389,477.33093,19.81598,1463.99963
260,2.158,560.36517,15.60157,1581.20581,471.97351,20.16389,1464.05469
261,2.167,556.25232,17.84774,1581.52185,466.74826,21.47772,1463.29199
262,2.175,550.36505,17.72313,1580.95117,462.63623,20.46774,1463.60938
263,2.183,546.14606,17.09048,1580.50134,457.28134,20.53677,1463.55566
264,2.192,541.98712,17.01734,1580.15381,452.68686,20.43793,1462.93506
265,2.2,536.74158,16.65299,1578.74927,447.75497,20.89577,1462.48877
266,2.208,532.18329,17.12766,1578.32532,442.79727,20.23702,1461.95679
267,2.217,526.3504,16.01447,1576.99866,438.02155,18.69547,1461.25708
268,2.225,523.82568,16.45928,1576.76733,433.37924,20.30086,1460.71924
269,2.233,517.50751,15.03455,1575.83008,427.33597,19.12872,1459.32104
270,2.242,513.021,16.07335,1575.32446,422.77917,20.30798,1458.81848
271,2.25,509.21735,15.91201,1575.0791,418.19904,18.27262,1458.52832
272,2.258,502.77701,14.49977,1573.81653,412.58615,19.06119,1457.48328
273,2.267,498.31647,14.64557,1573.17664,407.31,17.60544,1457.86255
274,2.275,491.36908,14.41885,1572.60315,403.06943,18.1173,1456.11646
275,2.283,488.43307,13.27157,1572.54004,397.1633,16.63516,1455.23303
276,2.292,483.12314,12.79788,1571.04248,392.9263,15.62751,1454.98816
277,2.3,476.49158,12.05069,1570.14453,387.78799,14.6153,1454.5863
278,2.308,472.37589,10.62696,1569.34729,382.29837,14.10665,1453.27258
279,2.317,468.45343,10.20454,1569.30957,377.4425,13.85716,1453.12842
280,2.325,462.47791,9.75702,1568.86304,371.927,12.00885,1452.66394
281,2.333,457.03229,8.39277,1567.79175,366.91434,11.41143,1450.95728
282,2.342,453.05267,8.14188,1566.05579,361.15915,10.54099,1450.47644
283,2.35,447.23535,5.77717,1566.45129,356.39447,10.38068,1450.42627
284,2.358,442.00861,4.92232,1565.48865,351.57645,9.51892,1450.7915
285,2.367,437.19861,4.1566,1564.88184,345.68991,7.82733,1449.79431
286,2.375,431.7796,2.58767,1564.39087,339.57202,7.47567,1449.07458
287,2.383,426.17569,1.51186,1563.84961,334.44266,5.90045,1449.15076
288,2.392,420.74017,-0.04486,1563.5282,328.68622,5.03827,1447.29407
289,2.4,414.02652,0.33221,1564.10168,323.30637,4.0008,1447.32361
290,2.408,410.15625,-2.22184,1564.52771,318.08588,2.73316,1447.91663
291,2.417,404.1384,-4.3004,1564.09912,312.26578,0.70611,1447.54529
292,2.425,396.65442,-5.59464,1563.46167,306.70297,0.34138,1447.578
293,2.433,391.20886,-6.48415,1563.99023,300.62692,-1.14886,1447.39832
294,2.442,385.69894,-8.97266,1563.7616,294.29318,-2.10892,1448.32397
295,2.45,379.4776,-11.45267,1563.62891,288.1929,-3.4323,1448.53735
296,2.458,372.89673,-13.60952,1564.55444,281.88397,-5.10086,1448.36902
297,2.467,367.74707,-12.35486,1565.75391,276.4548,-7.28509,1449.35559
298,2.475,361.65796,-15.05487,1566.55676,270.99426,-8.48121,1449.73499
299,2.483,354.56537,-16.39909,1565.9071,264.6983,-10.86863,1449.65442
300,2.492,347.711,-18.2871,1566.59314,258.28699,-12.24641,1450.7207
301,2.5,341.50818,-20.31944,1567.43457,252.96016,-13.01045,1450.98779
302,2.508,335.69537,-21.29426,1569.93359,246.10808,-14.72479,1452.22095
303,2.517,329.33487,-23.67511,1570.18762,240.03557,-14.6248,1452.22449
304,2.525,322.92206,-25.33706,1570.32288,233.51495,-16.65676,1452.59644
305,2.533,317.30365,-24.73686,1571.83838,228.68452,-17.92289,1453.77319
306,2.542,311.94171,-27.35456,1573.10071,222.65199,-19.49849,1454.92065
307,2.55,305.0361,-29.32322,1573.67114,217.43413,-21.05433,1456.40552
308,2.558,299.69336,-30.55979,1574.46484,211.70657,-21.74845,1456.91467
309,2.567,294.40753,-32.36419,1575.14502,205.60304,-23.66474,1458.36975
310,2.575,288.00278,-32.37535,1575.8125,200.11356,-23.07277,1458.71692
311,2.583,282.54492,-34.82537,1577.32581,194.76849,-25.61073,1459.33472
312,2.592,278.85678,-36.97326,1576.74377,189.41107,-26.30764,1459.86743
313,2.6,272.04959,-38.44812,1576.59216,183.94418,-28.55049,1459.26111
314,2.608,267.10144,-38.38043,1577.65125,179.17714,-28.17025,1459.64197
315,2.617,261.76428,-39.13511,1577.11719,172.89252,-30.99345,1461.19531
316,2.625,254.73784,-40.39001,1577.15308,168.12941,-30.32015,1461.0885
317,2.633,249.73799,-41.64044,1577.87219,162.15971,-30.85978,1460.86694
318,2.642,245.93561,-42.25126,1578.67456,157.07939,-32.50152,1460.88525
319,2.65,239.08244,-45.40509,1578.672,151.45251,-32.86886,1460.24146
320,2.658,233.45389,-46.64208,1579.21973,146.8138,-34.41245,1460.80579
321,2.667,228.90149,-46.62808,1579.43689,141.23099,-36.44959,1460.849
322,2.675,222.78217,-47.51817,1579.37671,135.80292,-36.47871,1459.32764
323,2.683,216.94719,-49.28727,1578.21155,130.64117,-37.02685,1459.76721
324,2.692,212.70651,-48.29764,1578.99329,124.85728,-37.69398,1459.68335
325,2.7,207.45949,-50.35272,1579.09521,119.71727,-38.33499,1459.89258
326,2.708,201.39586,-51.45633,1579.88586,114.85161,-39.87423,1460.19568
327,2.717,196.6918,-51.19794,1580.28967,109.20283,-39.77963,1460.53711
328,2.725,190.18172,-52.46762,1578.94873,103.9296,-39.88992,1459.83875
329,2.733,185.44421,-53.26758,1578.94141,99.2722,-40.52583,1460.71948
330,2.742,180.22548,-53.54176,1578.83191,94.11661,-41.21019,1460.25195
331,2.75,175.81024,-55.84672,1579.03345,89.62889,-40.6741,1459.54285
332,2.758,170.16817,-56.74751,1578.7345,84.40265,-40.74244,1459.4165
333,2.767,163.75108,-55.99824,1578.18188,79.92908,-41.35846,1459.50732
