Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z
379,3.15,552.05115,-330.95056,798.51172
380,3.158,559.57953,-330.23325,798.56451
381,3.167,566.4212,-332.26593,798.4187
382,3.175,574.12152,-332.84821,798.94897
383,3.183,580.78528,-333.64722,799.40411
384,3.192,588.36865,-334.4913,800.08447
385,3.2,595.43127,-336.54733,800.51654
386,3.208,602.43329,-335.82227,801.35443
387,3.217,610.52979,-336.92554,802.20831
388,3.225,617.23688,-338.4603,803.55878
389,3.233,624.88959,-339.82809,805.23322
390,3.242,633.49805,-340.81302,806.00684
391,3.25,640.12445,-340.98276,806.93011
392,3.258,648.00287,-343.14655,808.5976
393,3.267,656.60358,-344.08365,810.28961
394,3.275,663.12604,-345.8327,811.51038
395,3.283,671.63379,-346.88666,813.0766
396,3.292,680.02606,-349.21609,814.578
397,3.3,688.63641,-350.55499,817.3147
398,3.308,695.66089,-352.88,819.06323
399,3.317,703.62476,-354.2319,820.22498
400,3.325,711.62524,-356.13867,821.91992
401,3.333,718.80823,-357.82227,823.94073
402,3.342,727.06848,-359.65152,824.58295
403,3.35,735.33246,-362.08057,826.56769
404,3.358,743.69385,-363.59088,828.12494
405,3.367,751.75909,-365.53452,829.65674
406,3.375,759.33783,-367.04041,830.45404
407,3.383,767.09845,-368.69821,831.43561
408,3.392,775.53613,-370.5643,833.11969
409,3.4,784.64215,-372.04074,837.36914
410,3.408,791.68872,-373.51501,838.0929
411,3.417,798.33362,-375.41925,838.99829
412,3.425,808.43372,-376.67291,840.60211
413,3.433,816.17688,-377.29218,841.72729
414,3.442,823.59973,-377.30893,842.4295
415,3.45,832.60022,-378.1413,843.36041
416,3.458,839.09204,-379.03458,844.21887
417,3.467,846.35016,-379.83292,845.91394
418,3.475,854.19629,-380.13953,846.57715
419,3.483,862.38092,-379.53107,846.61432
420,3.492,870.1311,-380.00436,847.97552
421,3.5,877.49915,-380.38687,849.27551
422,3.508,884.85248,-379.11182,849.88885
423,3.517,892.41943,-379.57089,850.15997
424,3.525,899.87018,-378.56287,851.19073
425,3.533,907.13922,-378.04428,851.2395
426,3.542,914.84326,-376.86929,851.94415
427,3.55,921.88251,-375.608,852.32019
428,3.558,928.87207,-374.76157,852.55676
429,3.567,934.92767,-374.36594,852.99268
430,3.575,942.12225,-373.18411,852.8186
431,3.583,949.76801,-372.20096,852.92078
432,3.592,956.71277,-370.75488,852.78082
433,3.6,963.58112,-369.52176,852.54425
434,3.608,969.75043,-367.38052,852.39191
435,3.617,976.94836,-366.58252,851.32813
436,3.625,983.409,-365.88486,851.29504
437,3.633,986.94104,-360.38635,848.24939
438,3.642,994.14764,-358.83627,848.37
439,3.65,999.93445,-358.06302,847.10901
440,3.658,1006.14203,-355.04843,846.09552
441,3.667,1014.07843,-353.60391,845.42053
442,3.675,1018.59723,-351.61255,844.82111
443,3.683,1026.27954,-349.84448,845.0163
444,3.692,1031.50537,-349.04971,843.78333
445,3.7,1038.08008,-345.68466,842.74634
446,3.708,1044.10608,-343.56287,841.47644
447,3.717,1049.55273,-342.47617,841.20575
448,3.725,1055.06873,-340.31653,839.31903
449,3.733,1060.36743,-339.54965,838.69879
450,3.742,1066.64783,-337.22989,837.51752
451,3.75,1073.73389,-334.97,836.66809
452,3.758,1077.94092,-332.99911,835.78052
453,3.767,1083.42761,-330.98236,834.56592
454,3.775,1088.26111,-329.55869,833.16919
455,3.783,1094.37146,-328.19437,832.79095
456,3.792,1099.61292,-326.40451,831.91705
457,3.8,1105.2511,-324.84048,830.73138
458,3.808,1109.76392,-322.95871,828.76147
459,3.817,1114.95776,-320.82233,827.94208
460,3.825,1120.42212,-319.9321,826.95667
461,3.833,1125.64014,-318.4368,827.12372
462,3.842,1130.75806,-317.65497,825.89716
463,3.85,1135.73462,-315.69876,825.52655
464,3.858,1141.3446,-314.4769,824.57318
465,3.867,1146.40576,-312.84598,823.93567
466,3.875,1149.71204,-311.66553,823.47809
467,3.883,1155.0592,-311.43948,823.99548
468,3.892,1158.94043,-310.25543,823.01831
469,3.9,1163.24719,-308.75034,822.82953
470,3.908,1168.09497,-308.28528,823.25525
471,3.917,1172.05786,-306.75781,823.71332
472,3.925,1175.09387,-305.9259,823.88043
473,3.933,1179.53442,-304.16025,823.73798
474,3.942,1182.9895,-302.8718,823.09467
475,3.95,1188.61121,-302.58725,824.34491
476,3.958,1190.40771,-302.32721,825.63049
477,3.967,1194.7677,-300.48804,826.50751
478,3.975,1198.15771,-300.51733,826.34589
479,3.983,1200.85608,-299.9093,827.30048
480,3.992,1203.82141,-298.67557,827.88165
481,4,1208.18579,-298.96649,829.23566
482,4.008,1211.84119,-298.82458,829.65045
483,4.017,1213.91357,-297.4537,829.73584
484,4.025,1216.953,-297.20868,829.6582
485,4.033,1221.48267,-297.51443,829.7475
486,4.042,1222.42773,-298.10818,830.60529
487,4.05,1228.33618,-299.0004,831.66357
488,4.058,1233.32642,-302.09064,831.80389
