Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z
399,3.317,660.96436,-107.04411,1302.03894
400,3.325,667.40405,-109.06915,1303.4624
401,3.333,673.75787,-109.64906,1304.18372
402,3.342,678.75806,-111.1946,1305.06897
403,3.35,684.76868,-112.78658,1305.68066
404,3.358,690.89893,-113.51495,1305.95801
405,3.367,696.12665,-114.27078,1306.52209
406,3.375,702.08734,-115.42157,1307.32422
407,3.383,707.5459,-116.73692,1307.5824
408,3.392,712.84009,-117.12848,1307.71313
409,3.4,719.1189,-117.89046,1308.45923
410,3.408,724.57501,-119.50175,1308.58521
411,3.417,730.07819,-119.31193,1308.66504
412,3.425,736.04846,-119.91084,1309.06848
413,3.433,740.992,-120.36367,1308.97986
414,3.442,747.22803,-121.07451,1308.80725
415,3.45,752.76996,-120.91412,1308.823
416,3.458,758.34949,-121.46494,1309.37793
417,3.467,763.69055,-121.63693,1310.02515
418,3.475,769.48975,-121.35964,1309.9198
419,3.483,774.71899,-122.13755,1309.94836
420,3.492,780.38171,-122.30343,1310.41345
421,3.5,785.68866,-122.37193,1310.77356
422,3.508,790.07886,-123.28532,1311.52112
423,3.517,796.08575,-122.76044,1311.37683
424,3.525,801.35193,-122.46237,1311.24707
425,3.533,806.2298,-122.19295,1310.70874
426,3.542,810.89203,-122.88638,1311.19849
427,3.55,816.53949,-122.46704,1311.25354
428,3.558,820.60583,-122.96394,1311.90308
429,3.567,825.96082,-122.3129,1311.29761
430,3.575,831.77979,-122.42838,1310.31506
431,3.583,836.04871,-122.70686,1310.45374
432,3.592,841.23602,-122.74879,1310.1228
433,3.6,846.46985,-122.22053,1310.01685
434,3.608,852.01373,-122.47437,1309.27197
435,3.617,856.38989,-122.15688,1309.48596
436,3.625,861.54626,-120.92978,1308.50244
437,3.633,866.47528,-120.95099,1307.43433
438,3.642,871.39618,-120.66354,1306.71765
439,3.65,876.02771,-120.19554,1306.18518
440,3.658,881.37262,-120.04023,1305.23877
441,3.667,887.00342,-119.76338,1303.98718
442,3.675,891.66602,-119.06519,1303.46729
443,3.683,895.80994,-118.77876,1302.30823
444,3.692,901.27246,-118.35806,1301.50134
445,3.7,906.0166,-117.58612,1300.93677
446,3.708,911.78613,-116.8258,1299.72217
447,3.717,917.17346,-116.0817,1298.77856
448,3.725,922.53333,-116.28609,1298.59973
449,3.733,927.68616,-115.13479,1297.37292
450,3.742,932.84741,-113.82964,1296.30859
451,3.75,937.85284,-113.01978,1296.01648
452,3.758,942.78461,-111.28833,1294.84961
453,3.767,948.69757,-110.48842,1293.94006
454,3.775,954.63843,-109.91012,1293.90479
455,3.783,959.5202,-108.63128,1292.75464
456,3.792,965.61255,-107.06732,1291.83643
457,3.8,970.46436,-105.67676,1290.91309
458,3.808,976.38092,-103.89356,1289.58716
459,3.817,982.24652,-102.86517,1288.94055
460,3.825,987.07263,-100.34485,1288.01794
461,3.833,993.05548,-99.35868,1287.36499
462,3.842,999.02661,-98.60375,1286.76208
463,3.85,1004.42322,-96.01904,1286.22778
464,3.858,1010.98328,-93.4521,1285.36218
465,3.867,1015.94574,-92.70384,1284.95386
466,3.875,1021.96692,-91.33576,1285.84143
467,3.883,1028.27576,-89.33996,1286.06616
468,3.892,1034.60034,-86.31139,1285.16101
469,3.9,1041.42957,-85.21425,1285.40088
470,3.908,1047.18298,-82.91415,1286.38867
471,3.917,1052.15234,-81.39125,1287.099
472,3.925,1059.14063,-78.19187,1287.61328
473,3.933,1065.13672,-77.19575,1287.84131
474,3.942,1071.31116,-75.62992,1289.5249
475,3.95,1077.50488,-73.78197,1289.90088
476,3.958,1082.62781,-71.22161,1291.67224
477,3.967,1088.24976,-69.78368,1292.12537
478,3.975,1094.34705,-68.32966,1293.93054
479,3.983,1099.14868,-66.85221,1294.9585
480,3.992,1104.43945,-64.44504,1295.72839
481,4,1109.39734,-62.64759,1297.13025
482,4.008,1115.85901,-62.01994,1298.5033
483,4.017,1120.47229,-60.11716,1298.58716
484,4.025,1125.53003,-58.23915,1300.05212
485,4.033,1131.55945,-58.30326,1300.75305
486,4.042,1135.67261,-56.40835,1300.85071
487,4.05,1141.09106,-54.77335,1302.20947
488,4.058,1146.38599,-53.61277,1302.42407
489,4.067,1152.04968,-52.54995,1302.47583
490,4.075,1157.28589,-51.13419,1302.56067
491,4.083,1163.56396,-51.20813,1302.99341
492,4.092,1167.79248,-50.02154,1303.46399
493,4.1,1171.60132,-48.72965,1303.5
494,4.108,1178.53101,-48.82663,1303.13123
495,4.117,1182.00647,-47.87268,1302.79883
496,4.125,1187.08984,-46.42073,1302.93835
497,4.133,1193.01147,-46.0335,1303.63562
498,4.142,1196.9353,-44.78558,1303.77722
499,4.15,1203.21143,-44.31128,1303.20215
500,4.158,1207.73987,-43.34408,1303.79333
501,4.167,1212.48206,-43.03881,1304.3396
502,4.175,1217.58936,-43.16873,1304.66516
503,4.183,1221.75,-41.67249,1304.75
504,4.192,1227.79211,-41.79768,1305.20654
505,4.2,1232.24646,-40.32515,1304.93811
506,4.208,1235.92957,-41.21021,1305.34424
507,4.217,1240.86621,-40.9403,1305.72266
508,4.225,1245.38953,-39.54169,1305.51611
509,4.233,1251.29846,-39.97465,1305.17175
510,4.242,1254.94458,-38.98054,1304.71179
511,4.25,1259.60706,-39.73084,1305.2594
512,4.258,1264.00732,-38.94454,1305.1781
513,4.267,1269.71094,-39.37946,1304.3064
514,4.275,1274.07031,-38.2123,1304.09644
515,4.283,1279.71326,-39.16822,1303.42444
516,4.292,1284.18604,-38.50274,1302.46509
517,4.3,1288.79761,-38.78928,1302.51465
518,4.308,1294.32141,-39.49583,1301.76819
519,4.317,1299.34521,-38.41568,1301.78101
520,4.325,1304.59998,-38.96645,1301.1886
521,4.333,1309.29858,-39.61327,1300.67114
522,4.342,1314.2926,-38.80611,1299.9209
523,4.35,1319.4408,-39.96705,1298.83118
524,4.358,1323.80591,-39.19167,1298.63684
525,4.367,1329.99512,-39.58926,1298.01648
526,4.375,1334.17029,-39.90303,1296.80249
527,4.383,1339.87183,-40.09318,1296.24121
528,4.392,1344.47766,-41.19394,1296.0321
529,4.4,1350.33118,-41.89142,1294.94507
530,4.408,1356.93591,-43.81944,1294.44189
531,4.417,1361.90625,-43.28186,1293.66431
532,4.425,1368.11975,-44.54411,1293.35742
533,4.433,1372.24231,-44.75233,1292.39966
534,4.442,1377.03345,-45.78901,1291.38428
535,4.45,1383.53882,-46.44215,1290.35486
536,4.458,1388.85266,-46.81166,1289.54065
537,4.467,1395.55371,-49.62311,1288.50439
538,4.475,1399.995,-49.84842,1287.64636
539,4.483,1405.99854,-49.59442,1286.35876
540,4.492,1411.66187,-50.22398,1286.09998
541,4.5,1417.72449,-52.82492,1285.66907
542,4.508,1424.42993,-55.46334,1284.87146
543,4.517,1429.90247,-55.46122,1284.51111
544,4.525,1436.63098,-56.50683,1283.78638
545,4.533,1443.37756,-57.94627,1283.13062
546,4.542,1448.97314,-60.10372,1282.89575
547,4.55,1455.88562,-60.87939,1282.68701
548,4.558,1462.52344,-63.18553,1282.76086
549,4.567,1468.43738,-64.21985,1282.92981
550,4.575,1475.29675,-65.76659,1283.27832
551,4.583,1481.03967,-67.2693,1284.38782
552,4.592,1486.76099,-68.70277,1284.35022
553,4.6,1493.89514,-69.91396,1285.91577
554,4.608,1499.58447,-71.64156,1286.26465
555,4.617,1506.31616,-73.05157,1287.79565
556,4.625,1512.52783,-76.08922,1288.82715
557,4.633,1518.55664,-76.99577,1289.86584
558,4.642,1525.03381,-78.39329,1290.79956
559,4.65,1531.13611,-80.57889,1292.05396
560,4.658,1538.16724,-81.26646,1293.52136
561,4.667,1543.87756,-82.67345,1294.31213
