Frame#,Time,L.Radius.x,L.Radius.y,L.Radius.z
348,2.892,-568.02313,367.42017,1401.12708
349,2.9,-576.5293,366.55475,1401.57581
350,2.908,-582.51129,368.78217,1402.80835
351,2.917,-590.87677,366.01926,1403.36963
352,2.925,-597.91492,365.66223,1403.94324
353,2.933,-604.42365,365.57974,1403.89929
354,2.942,-611.81659,362.88397,1403.61682
355,2.95,-619.28583,366.88336,1403.75916
356,2.958,-627.59882,364.99857,1404.19263
357,2.967,-633.86749,363.02933,1405.35864
358,2.975,-639.79736,364.54642,1405.20215
359,2.983,-647.98376,362.08887,1404.56689
360,2.992,-656.55023,364.2417,1403.573
361,3,-663.69061,363.74878,1403.16394
362,3.008,-669.09979,363.06003,1403.58386
363,3.017,-675.49609,363.52551,1403.46643
364,3.025,-684.27747,362.71539,1402.875
365,3.033,-691.71472,365.17691,1401.31812
366,3.042,-697.61755,363.79025,1400.3446
367,3.05,-704.60913,363.78961,1401.20251
368,3.058,-713.82916,364.29263,1399.99182
369,3.067,-720.82928,366.75702,1399.052
370,3.075,-729.7077,364.74136,1398.55225
371,3.083,-734.71021,365.80737,1397.88831
372,3.092,-742.59955,367.53555,1397.21814
373,3.1,-749.34021,368.91849,1395.64331
374,3.108,-758.35974,366.20419,1396.16235
375,3.117,-766.20459,368.31882,1395.16211
376,3.125,-773.26263,369.75662,1393.25793
377,3.133,-779.3078,371.17346,1393.17578
378,3.142,-788.76947,369.38062,1392.26575
379,3.15,-795.37476,372.66565,1390.78809
380,3.158,-803.3822,371.8519,1389.34155
381,3.167,-811.01123,373.44925,1389.72095
382,3.175,-821.00507,374.48868,1388.0437
383,3.183,-826.56262,375.422,1387.30994
384,3.192,-833.49347,376.16901,1386.77502
385,3.2,-840.88318,378.81369,1385.20789
386,3.208,-849.71906,379.70078,1383.48572
387,3.217,-857.63971,381.78018,1382.5531
388,3.225,-864.46204,383.1001,1381.94653
389,3.233,-872.69202,382.72556,1380.87158
390,3.242,-880.52118,386.65802,1379.97803
391,3.25,-887.59833,386.02133,1379.85034
392,3.258,-896.32806,389.42014,1380.20776
393,3.267,-904.23663,390.4931,1380.61145
394,3.275,-912.67346,390.55045,1380.72961
395,3.283,-920.51093,391.87714,1380.54883
396,3.292,-927.35724,394.06213,1380.46631
397,3.3,-935.87567,396.87711,1382.05273
398,3.308,-943.42798,397.91058,1382.19238
399,3.317,-954.82794,396.91205,1384.44641
400,3.325,-959.78571,400.21027,1385.05701
401,3.333,-966.32922,402.35446,1385.57385
402,3.342,-975.35199,404.99094,1386.07861
403,3.35,-981.63483,405.78513,1388.18457
