Frame#,Time,R.Biceps.Lateral.x,R.Biceps.Lateral.y,R.Biceps.Lateral.z,R.Elbow.x,R.Elbow.y,R.Elbow.z,R.Elbow.Medial.x,R.Elbow.Medial.y,R.Elbow.Medial.z
134,1.108,-913.29108,-223.00148,1245.26172,-959.51093,-241.64908,1065.73474,-977.80798,-161.48885,1067.83386
135,1.117,-907.82672,-224.53136,1245.32275,-952.06384,-243.39668,1065.92761,-969.25793,-164.36778,1067.90173
136,1.125,-900.52429,-225.98763,1245.33386,-945.00244,-245.44899,1066.24817,-962.61682,-165.84631,1068.02087
137,1.133,-894.61975,-227.66141,1245.91504,-938.65082,-247.72168,1065.95459,-956.94562,-167.53041,1067.84521
138,1.142,-889.13855,-230.09636,1245.3252,-931.56226,-249.93788,1066.39563,-948.67596,-170.21892,1067.82703
139,1.15,-883.06195,-231.64439,1246.48193,-924.29364,-251.5936,1066.27258,-941.59784,-172.3318,1067.32947
140,1.158,-875.77997,-235.44611,1246.63538,-917.02106,-252.83093,1065.77991,-935.64862,-173.71623,1066.79114
141,1.167,-869.59167,-235.98907,1246.30359,-909.53021,-255.12245,1065.73987,-927.74554,-176.44139,1066.60522
142,1.175,-862.27289,-238.06708,1246.12683,-902.51538,-257.78946,1065.80603,-921.37567,-177.89662,1065.93811
143,1.183,-856.30902,-239.21425,1245.54382,-894.73743,-259.90814,1065.00745,-913.94733,-179.29016,1065.55896
144,1.192,-849.14044,-242.25067,1245.2406,-888.20294,-260.00992,1064.92603,-907.22906,-182.22462,1066.16785
145,1.2,-842.50598,-242.60902,1245.43909,-880.33557,-261.97226,1064.80212,-899.4245,-183.09627,1066.03601
146,1.208,-834.32208,-244.50323,1244.94849,-874.51007,-264.52264,1065.2561,-892.33264,-184.60132,1065.1875
147,1.217,-827.26184,-245.81799,1245.60657,-864.57959,-265.19879,1064.84192,-884.21387,-186.58836,1065.35815
148,1.225,-819.11505,-247.01265,1246.14636,-856.68372,-267.81058,1065.271,-876.92316,-189.02486,1065.86597
149,1.233,-812.88263,-248.36131,1246.63354,-849.7702,-269.19037,1065.82092,-870.38843,-189.84862,1065.56873
150,1.242,-806.5907,-249.88412,1246.38062,-842.57031,-269.58795,1065.45557,-863.50555,-191.03912,1066.30212
151,1.25,-800.21796,-250.51868,1247.2085,-834.78766,-270.93259,1066.4043,-856.6311,-192.29652,1067.07642
152,1.258,-792.8772,-250.18953,1248.15149,-827.74512,-272.46118,1066.34644,-849.40912,-193.26559,1066.39856
153,1.267,-786.8764,-252.29987,1249.51233,-820.38702,-273.9556,1067.32666,-842.2149,-195.0401,1067.96484
154,1.275,-780.59729,-252.33798,1249.82544,-813.4021,-275.21445,1068.35034,-835.32587,-195.85783,1067.56555
155,1.283,-774.13995,-252.99333,1249.96204,-806.2254,-275.98669,1068.94275,-830.47272,-197.47716,1068.20776
156,1.292,-768.57233,-254.29587,1250.57007,-799.4939,-276.16827,1069.59119,-825.86792,-198.12801,1070.2301
157,1.3,-762.65417,-254.91737,1251.42346,-793.07416,-277.6243,1070.02441,-820.05853,-197.93175,1070.04175
158,1.308,-757.56262,-254.86523,1252.23096,-787.203,-279.06244,1070.76563,-813.22766,-199.5672,1070.1626
