Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Jaw.x,Jaw.y,Jaw.z
230,1.908,1006.45795,-400.98627,1707.82617,1135.25781,-357.58203,1636.60889
231,1.917,1013.27045,-402.02908,1706.63965,1140.40051,-355.93161,1636.17981
232,1.925,1021.52979,-401.62997,1705.91516,1148.36108,-356.2132,1634.8562
233,1.933,1029.09705,-401.1821,1705.46924,1155.22839,-356.35818,1634.67932
234,1.942,1034.9292,-401.2467,1704.58936,1162.44421,-355.99927,1633.75183
235,1.95,1042.28296,-400.58334,1703.82605,1168.09888,-354.89951,1634.15698
236,1.958,1049.08276,-400.37692,1703.40417,1176.11646,-355.30341,1631.12048
237,1.967,1056.55164,-400.37732,1703.00916,1182.57776,-354.13153,1631.33289
238,1.975,1063.08594,-400.12482,1701.67566,1189.51709,-352.79758,1631.21851
239,1.983,1071.44116,-399.42657,1702.23279,1196.78259,-353.12216,1630.58887
240,1.992,1078.16394,-398.01419,1700.74207,1206.08752,-352.03342,1629.46594
241,2,1083.69739,-397.23813,1699.05566,1211.07007,-350.50192,1629.59229
242,2.008,1091.34326,-396.836,1699.07166,1219.49146,-351.26096,1629.10278
243,2.017,1098.5061,-396.867,1698.28821,1227.34338,-350.56387,1627.91614
244,2.025,1105.80054,-396.59268,1696.71741,1232.74756,-347.83264,1628.3739
245,2.033,1113.84131,-395.40961,1696.7157,1240.58911,-348.00546,1627.25781
246,2.042,1120.61279,-395.51913,1695.59229,1247.83643,-347.67581,1627.97583
247,2.05,1127.82581,-393.99783,1695.43762,1254.77332,-345.7197,1625.54858
248,2.058,1135.83032,-393.14932,1695.39355,1262.05457,-345.3414,1626.0321
249,2.067,1142.63232,-392.05731,1695.02612,1269.40137,-344.98917,1626.44678
250,2.075,1148.98303,-390.45392,1693.93689,1275.39709,-343.39261,1625.68884
251,2.083,1156.21277,-389.22263,1693.01355,1285.86646,-342.20297,1625.19495
252,2.092,1163.97974,-389.08481,1692.51733,1293.03882,-341.93179,1625.01147
253,2.1,1171.59607,-387.62787,1693.1355,1299.85669,-339.37857,1626.04248
254,2.108,1177.43005,-385.93954,1692.71509,1306.50903,-338.89432,1625.66504
255,2.117,1186.25073,-385.53085,1692.85291,1315.28857,-338.26367,1626.70642
256,2.125,1194.72144,-384.25964,1692.85291,1321.53833,-335.98566,1626.04736
257,2.133,1199.8739,-382.22421,1693.06616,1330.79712,-335.40375,1627.11682
258,2.142,1208.36963,-382.23428,1693.24573,1338.69568,-335.2886,1627.57129
259,2.15,1216.75305,-380.68015,1693.97021,1345.50061,-333.68893,1628.32312
260,2.158,1223.57568,-381.28806,1693.50061,1352.72253,-332.70587,1629.6731
261,2.167,1229.62048,-377.79105,1694.7876,1360.77393,-332.05774,1630.54749
